id,key,value,type
18904778,source,PGS,regular
18904792,source,PGS,regular
18904846,source,PGS,regular
18904897,source,PGS,regular
18921021,source,PGS,regular
18921226,source,PGS,regular
18923607,source,PGS,regular
18923608,source,PGS,regular
18923612,source,PGS,regular
18926798,source,PGS,regular
18927545,created_by,r_coastlines,regular
18927545,source,PGS,regular
18927549,source,PGS,regular
18927551,source,PGS,regular
18927552,source,PGS,regular
18927555,source,PGS,regular
18927557,source,PGS,regular
18927559,source,PGS,regular
18927561,source,PGS,regular
18927563,source,PGS,regular
18927566,source,PGS,regular
18927568,source,PGS,regular
18927570,source,PGS,regular
18927573,source,PGS,regular
18927574,source,PGS,regular
18927576,source,PGS,regular
18927578,source,PGS,regular
18927579,source,PGS,regular
18927582,source,PGS,regular
18927585,source,PGS,regular
18927586,source,PGS,regular
18927589,source,PGS,regular
18927592,source,PGS,regular
18927594,source,PGS,regular
18927596,source,PGS,regular
18927599,source,PGS,regular
18927600,source,PGS,regular
18927603,source,PGS,regular
18927604,source,PGS,regular
18927607,source,PGS,regular
18927608,source,PGS,regular
18927612,source,PGS,regular
18927613,source,PGS,regular
18927616,source,PGS,regular
18927618,source,PGS,regular
18927619,source,PGS,regular
18927622,source,PGS,regular
18927624,source,PGS,regular
18927627,source,PGS,regular
18927628,source,PGS,regular
18927630,source,PGS,regular
18927632,source,PGS,regular
18927634,source,PGS,regular
18927640,created_by,r_coastlines,regular
18927640,source,PGS,regular
18927643,created_by,r_coastlines,regular
18927643,source,PGS,regular
18927644,source,PGS,regular
18927647,source,PGS,regular
18927649,source,PGS,regular
18927650,source,PGS,regular
18927652,source,PGS,regular
18927654,source,PGS,regular
18927655,source,PGS,regular
18927658,source,PGS,regular
18927661,created_by,r_coastlines,regular
18927661,source,PGS,regular
18927662,source,PGS,regular
18927665,source,PGS,regular
18927668,source,PGS,regular
18927669,source,PGS,regular
18927672,source,PGS,regular
18927674,source,PGS,regular
18927676,created_by,r_coastlines,regular
18927676,source,PGS,regular
18927678,source,PGS,regular
18927680,source,PGS,regular
18927684,source,PGS,regular
18927687,source,PGS,regular
18927690,created_by,r_coastlines,regular
18927690,source,PGS,regular
18927693,source,PGS,regular
18927696,source,PGS,regular
18927698,source,PGS,regular
18927709,created_by,r_coastlines,regular
18927709,source,PGS,regular
18927712,created_by,r_coastlines,regular
18927712,source,PGS,regular
18927715,created_by,r_coastlines,regular
18927715,source,PGS,regular
18927718,source,PGS,regular
18927719,created_by,r_coastlines,regular
18927719,source,PGS,regular
18927721,source,PGS,regular
18927724,created_by,r_coastlines,regular
18927724,source,PGS,regular
18927726,created_by,r_coastlines,regular
18927726,source,PGS,regular
